Genotype Test Result for SLCO1B1,Coded Genotype/Phenotype Summarya,EHR Priority Result Notationb,,,,,,,
*1a/*1a,None,Normal/Routine/Low Risk,,,,,,,
*1a/*1b,None,Normal/Routine/Low Risk,,,,,,,
*1a/*2,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*3,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*4,Indeterminate,None,,,,,,,
*1a/*5,SLCO1B1- Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*6,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*7,Indeterminate,None,,,,,,,
*1a/*8,Indeterminate,None,,,,,,,
*1a/*9,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*10,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*11,Indeterminate,None,,,,,,,
*1a/*12,Indeterminate,None,,,,,,,
*1a/*13,Indeterminate,None,,,,,,,
*1a/*14,SLCO1B1 - Possible Increased Function,None,,,,,,,
*1a/*15,SLCO1B1 - Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*16,Indeterminate,None,,,,,,,
*1a/*17,SLCO1B1 - Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*18,Indeterminate,None,,,,,,,
*1a/*19,Indeterminate,None,,,,,,,
*1a/*20,Indeterminate,None,,,,,,,
*1a/*21,Indeterminate,None,,,,,,,
*1a/*22,Indeterminate,None,,,,,,,
*1a/*23,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*24,Indeterminate,None,,,,,,,
*1a/*25,Indeterminate,None,,,,,,,
*1a/*26,Indeterminate,None,,,,,,,
*1a/*27,Indeterminate,None,,,,,,,
*1a/*28,Indeterminate,None,,,,,,,
*1a/*29,Indeterminate,None,,,,,,,
*1a/*30,Indeterminate,None,,,,,,,
*1a/*31,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1a/*32,Indeterminate,None,,,,,,,
*1a/*33,Indeterminate,None,,,,,,,
*1a/*34,Indeterminate,None,,,,,,,
*1a/*35,SLCO1B1 - Possible Increased Function,None,,,,,,,
*1a/*36,Indeterminate,None,,,,,,,
*1b/*1b,None,Normal/Routine/Low Risk,,,,,,,
*1b/*2,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*3,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*4,Indeterminate,None,,,,,,,
*1b/*5,SLCO1B1- Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*6,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*7,Indeterminate,None,,,,,,,
*1b/*8,Indeterminate,None,,,,,,,
*1b/*9,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*10,SLCO1B1 - Possible Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*11,Indeterminate,None,,,,,,,
*1b/*12,Indeterminate,None,,,,,,,
*1b/*13,Indeterminate,None,,,,,,,
*1b/*14,SLCO1B1 - Possible Increased Function,None,,,,,,,
*1b/*15,SLCO1B1 - Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*16,Indeterminate,None,,,,,,,
*1b/*17,SLCO1B1 - Intermediate Function,Abnormal/Priority/High Risk,,,,,,,
*1b/*18,Indeterminate,None,,,,,,,
*1b/*19,Indeterminate,None,,,,,,,
