CYP2D6 Diplotype	Gaedigk Activity Score (formula)	Coded Genotype/Phenotype Summary	EHR Priority Result Notation
*3/*3	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*3xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*4	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*4xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*5	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*6	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*6xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*40	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*42	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*44	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*47	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*51	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*56	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*57	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*60	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*62	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*68	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*69	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*92	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*96	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*99	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*100	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3/*101	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*3xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*4	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*4xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*5	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*6	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*6xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*7	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*8	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*11	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*12	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*13	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*14A	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*15	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*18	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*19	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*20	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*21	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*31	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*36	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*36xN	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
*3xN/*38	0	CYP2D6 Poor Metabolizer	Abnormal/Priority/High Risk
